,PO1,PO2,PO3,PO4,PO5,PO6,PO7,PO8,PO9,PO10,PO11,PO12,PO13,PO14,PO15,PO16,PO17,PO18,PO19,PO20,PO21,PO22,PO23,PO24,PO25,PO26,PO27,PO28,PO29,PO30,PO31,PO32,PO33,PO34,PO35,PO36,PO37,PO38,PO39,PO40,PO41,PO42,PO43,PO44,PO45,PO46,PO47,PO48,PO49,PO50,PO51,PO52,PO53,PO54,PO55,PO56,PO57,PO58,PO59,PO60,PO61,PO62,PO63,PO64,PO65,PO66,PO67,PO68,PO69,PO70,PO71,PO72,PO73,PO74,PO75,PO76,PO77,PO78,PO79,PO80,PO81,PO82,PO83,PO84,PO85,PO86,PO87,PO88,PO89,PO90,PO91,PO92,PO93,PO94,PO95,PO96,PO97,PO98,PO99,PO100,PO101,PO102,PO103,PO104,PO105,PO106,PO107,PO108,PO109,PO110,PO111,PO112,PO113,PO114,PO115,PO116,PO117,PO118,PO119,PO120,PO121,PO122,PO123,PO124,PO125,PO126,PO127,PO128,PO129,PO130,PO131,PO132,PO133,PO134,PO135,PO136,PO137,PO138,PO139,PO140,PO141,PO142,PO143,PO144,PO145,PO146,PO147,PO148,PO149,PO150,PO151,PO152,PO153,PO154,PO155,PO156,PO157,PO158,PO159,PO160,PO161,PO162,PO163,PO164,PO165,PO166,PO167,PO168,PO169,PO170,PO171,PO172,PO173,PO174,PO175,PO176,PO177,PO178,PO179,PO180,PO181,PO182,PO183,PO184,PO185,PO186,PO187,PO188,PO189,PO190,PO191,PO192,PO193,PO194,PO195,PO196,PO197,PO198,PO199,PO200,PO201,PO202,PO203,PO204,PO205,PO206,PO207,PO208,PO209,PO210,PO211,PO212,PO213,PO214,PO215,PO216,PO217,PO218,PO219,PO220,PO221,PO222,PO223,PO224,PO225,PO226,PO227,PO228,PO229,PO230,PO231,PO232,PO233,PO234,PO235,PO236,PO237,PO238,PO239,PO240,PO241,PO242,PO243,PO244,PO245,PO246,PO247,PO248,PO249,PO250,PO251,PO252,PO253,PO254,PO255,PO256,PO257,PO258,PO259,PO260,PO261,PO262,PO263,PO264,PO265,PO266,PO267,PO268,PO269,PO270,PO271,PO272,PO273,PO274,PO275,PO276,PO277,PO278,PO279,PO280,PO281,PO282,PO283,PO284,PO285,PO286,PO287,PO288,PO289,PO290,PO291,PO292,PO293,PO294,PO295,PO296,PO297,PO298,PO299,PO300,PO301,PO302,PO303,PO304,PO305,PO306,PO307,PO308
Cornus.sanguinea,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0.2,0.3,0,0.4,0,0.222222222,0.7,0.522222222,0,0,0,0.966666667,0,0,0,0,0,0,0,0,0,0.1,0.4,0.2,0.2,0,0,0,0,0.422222222,0.222222222,0,0.222222222,0,0,0.222222222,0,0,0.622222222,0,0,0,0,0,2,0,0,0,0,0,0.1,0.222222222,0,4,0,0,0,0.1,0,0.1,0,0,0,3,0.744444444,0.5,0,0,0,2,0.888888889,0.4,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0.1,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0.2,0,0,1,0.444444444,0.222222222,0,0,0,0,0,0,0.1,0,0,0.666666667,6,0,1,0,0.4,0.766666667,0,0,0,0,0.444444444,0.222222222,0,0,2,0,0.7,0,0.888888889,0,0,0,0,0.222222222,0,0,0,0,2,0,0.222222222,0,0.666666667,3,0.1,0,0,0.444444444,0,0,0,0.222222222,0,0,0,0,0,0.844444444,0,0,0.222222222,0.222222222,0.822222222,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.666666667,0.444444444,0,0,0,0,0,0,0.444444444,0,0,0,0.1,0,0.222222222,0,0.2,0,0,0.1,0,0.322222222,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0.422222222,0,0,0,0,0,0,0,0.4,0.544444444,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0,0,0,0,0,0,0.222222222,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crataegus.monogyna,3,0,0,0.666666667,0.333333333,0,0.666666667,0,0,0,0,0,0,0.333333333,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.333333333,1,0.333333333,0.666666667,2,0,0,0,0,0,0.666666667,0,0,0,0,3,0,0.333333333,0,0,3,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,2,4,0,4,0,0.333333333,0,0,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0.333333333,0,1,0,0,0,0,0,0,0.666666667,0.333333333,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333,0,0.333333333,0,0.333333333,0.333333333,0,0,0,0,0,0,0,0,2,0,0.333333333,0,1,0,0.333333333,0,0,1,0,0,0.333333333,0.333333333,0,0.333333333,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.666666667,0,0.333333333,0.666666667,0,0,0,0.666666667,0,0,0,0,0,0.333333333,0,0,0,1,0,0,0,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0,0,2,0.333333333,1,0,0.333333333,0,0.666666667,0,0,0,0,0,2,0.666666667,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.333333333,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0.333333333
Euonymus.europaea,0,0,0,0,0,0.060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0.287878788,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0.333333333,0,0.060606061,1,1,0.303030303,0,0.083333333,0.825757576,2,0.060606061,0.060606061,0,0,0,0,0,0.325757576,2,0.303030303,0.181818182,0,0.166666667,0,0.681818182,0.060606061,0,0,0.083333333,2,0.060606061,0,0,0.583333333,2,0.121212121,0,0.5,0.931818182,0,0,0.060606061,0,0,0,0.083333333,0,0.121212121,0,0,0.083333333,0,0.060606061,0.060606061,0,0.060606061,0,0,0.083333333,0.060606061,0.121212121,0.204545455,0.121212121,0,0,0,0,0.181818182,0.060606061,0,0,0.143939394,3,0.484848485,0,0.060606061,0.060606061,0,0.060606061,0.303030303,0,0,0,0.242424242,0,2,0,1,0,0,0.060606061,0,0,0,0.060606061,0.060606061,0.060606061,0,0,0,0,0,0,0,0,0,0,0,0.060606061,0,0.060606061,0.060606061,0,0,0,0.325757576,0,1,0.083333333,0,0.060606061,0,0,0.060606061,0,0,0,0,0,0,0,0,0,0,0,0.060606061,0.060606061,0,0,0,0,0,0,0,0,0,0,0.060606061,0,0.227272727,0,0,0,0,0.060606061,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143939394,0,0,0,0.931818182,0.143939394,0,0,0,0,0,0,0,0.121212121,0,0,0,0,0,0,0,0,0,0,0,0.060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060606061,0,0.143939394,0,0.060606061,0,0,0,0,0,0,0,0.166666667,0,0.060606061,0.060606061,0,0,0,0,0,0,0,0,0,0,0,0.060606061,0,0.166666667,0,0,0,0,0
Euonymus.verrucosus,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frangula.alnus,0.047619048,0,0,0,0.095238095,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0.095238095,0.178571429,0.083333333,0,0,0,0.178571429,0,0,0,0,0,0,0,0.095238095,0,0.130952381,0.321428571,0,0,0,0,0,0,0.130952381,0,0,0,0,0,0,0,0,0.178571429,0,0.047619048,0,0,0.047619048,0.488095238,0,0,0,0,0,0.083333333,0,0,7,0.047619048,0.095238095,0,0.083333333,0,0,0,0,0,0.130952381,0.357142857,0,0,0,0,0.80952381,0.19047619,0.047619048,0,0.75,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0.083333333,0,0,0,0,0,2,0,3,0.142857143,0,0.047619048,0,0,0,0,0,0,0,0,0.047619048,3,0,0.416666667,0,0.083333333,0.880952381,0,0,0,0,0.142857143,0,0,0,0,0.166666667,0.047619048,0.047619048,0,0,0.047619048,0,0,0.19047619,0,0,0,0,0.047619048,0,0.047619048,0,0.285714286,0.904761905,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0.345238095,0,0.047619048,0,0.142857143,0.095238095,0.25,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297619048,0,0,0.083333333,0,0,0.083333333,0.428571429,0.095238095,0.44047619,0.047619048,0,0,0,0.047619048,0.047619048,0,0,0,0,0,8.5,0.547619048,2,0,0.25,0.095238095,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0.142857143,0.238095238,0,0,0,0,0.047619048,0,0,0,0,0,0.047619048,0.047619048,0,0.083333333,0.083333333,0,0,0.047619048,0.095238095,0.047619048,0,0.047619048,0,0,0,0,0,0.083333333,0,0,0,0,0.083333333,0,0,0,0
Lonicera.xylosteum,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0.166666667,0.222222222,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.222222222,0,0,0,0.388888889,0,0,0,0,0,0,0,0,0,0,0.222222222,0.166666667,0.222222222,0,0.222222222,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.944444444,0,1,0.444444444,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0.666666667,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prunus.padus,0.797619048,0,0,0,0,0,0,0,0,0.05,0,0,0,0.3,0,0,0.047619048,0,0,0,0,0.047619048,0,0.285714286,0.047619048,0,0,0,0,0.05,0,0,0.19047619,0.142857143,0.095238095,0.047619048,0.2,0,0,0,0,0.05,0.345238095,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0.047619048,0.047619048,0,0.19047619,0,0,0.288095238,0,0.047619048,0.29047619,0.05,0,0.095238095,0.047619048,0,0,0,0,0.1,0.097619048,0,0,0,2,0.476190476,0,0,0,0,0,0,0,0,0.047619048,0,0.095238095,0,0,0,0.347619048,0.1,0,0,0,0.095238095,0,0,0,0.097619048,0.1,0.142857143,0.619047619,0.15,0,0,0.047619048,0,0,0,0,0.145238095,0,0.095238095,0,0.095238095,0,0,0,0.05,0,0.095238095,0,0.047619048,0,1,0.05,0.6,0,0,0.19047619,0,0.047619048,0,0,0,0.047619048,0.147619048,0,0,0.15,0.247619048,0.095238095,0.197619048,0,0,0,0,0.333333333,0.047619048,0.047619048,0,0,0.05,0,0.097619048,0.05,0.047619048,0,0,0,0,0,0,0,0.047619048,0,0,0.047619048,0,0,0.05,0.1,0,0.05,0.238095238,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0.047619048,0.1,0,0.05,0.047619048,0.047619048,0.1,0,3,0,0,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.047619048,0.05,0.047619048,0.05,0.097619048,0.285714286,0.047619048,0,0,0,0,0,0,0.047619048,0,0,0,0.483333333,0.097619048,0.05,0.097619048,0,0,0,0,0,0,0,0,0.047619048,0.05,0,0,0.047619048,0,0,0,0.05,0,0,0,0.047619048,0.047619048,0.285714286,0,0,0,0.095238095,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0.047619048,0.047619048,0.047619048,0,0.24047619,0,0.047619048,0
